          Pomiar pierwotny           Pomiar aktualny  
 nr p     X P [m]         Y P [m]          x a [mm]        y a [m]  
  27    12302.1725    20641.0794    12302.1740    20641.0768 
  28    12036.3034    23230.1315    12036.3037    23230.1332 
  29    12500.1016    23867.2772    12500.1015    23867.2783 
  30    11913.0213    20942.9816    11913.0220    20942.9801 
  31    11459.5945    20405.6860    11459.5929    20405.6852 
  32    11740.3920    21713.8034    11740.3904    21713.8027 
  33    11501.3388    22221.3140    11501.3380    22221.3143 
  34    11555.0709    22691.1258    11555.0717    22691.1285 
  35    11683.8457    23303.8801    11683.8467    23303.8829 
  36    11792.4995    23776.7460    11792.5011    23776.7481 
  37    11004.5110    20617.4367    11004.5101    20617.4354 
  38    11094.9004    21280.7765    11094.8987    21280.7756 
  39    10612.9027    20092.8328    10612.9008    20092.8327 
  40    10399.8038    20738.8922    10399.8021    20738.8920 
  41    10789.6488    21182.2352    10789.6480    21182.2358 
  42    10906.7563    21830.5125    10906.7546    21830.5118 
  43    10148.0784    21427.9803    10148.0769    21427.9802 
  44    10590.8474    22017.7078    10590.8454    22017.7073 
  45    10872.9101    22506.2599    10872.9086    22506.2604 
  46    10199.3708    22426.8856    10199.3706    22426.8861 
  47    10506.6671    22964.9455    10506.6665    22964.9445 
  48    10838.6950    23108.6701    10838.6945    23108.6704 
  49    10761.3277    23662.1362    10761.3277    23662.1364 
  50    10199.8750    23470.4682    10199.8744    23470.4673 

         Pomiar pierwotny           Pomiar aktualny  
 nr p     X P [m]         Y P [m]          x a [mm]        y a [m]  
ZESTAW nr   6  
  11    13896.0557    21495.4619    13896.0556    21495.4609 
  12    13626.1170    21093.8596    13626.1169    21093.8599 
  13    13754.1237    20199.5246    13754.1239    20199.5241 
  14    13504.3651    22951.4572    13504.3633    22951.4556 
  15    13979.8322    22788.1511    13979.8309    22788.1509 
  16    13199.3304    20783.0463    13199.3312    20783.0466 
  17    13285.3352    21605.5535    13285.3354    21605.5531 
  18    13024.2461    22417.5048    13024.2475    22417.5062 
  19    13196.1303    23888.1275    13196.1298    23888.1271 
  20    13621.1931    23630.7716    13621.1925    23630.7703 
  21    12849.4188    20223.1497    12849.4187    20223.1512 
  22    12884.0589    20868.9368    12884.0604    20868.9365 
  23    12374.4551    21371.9590    12374.4552    21371.9598 
  24    12901.0855    21865.6998    12901.0829    21865.7007 
  25    12282.1102    22295.0375    12282.1081    22295.0380 
  26    12890.9271    23261.6074    12890.9249    23261.6064 
  27    12302.1725    20641.0794    12302.1739    20641.0803 
  28    12036.3034    23230.1315    12036.3024    23230.1318 
  29    12500.1016    23867.2772    12500.1005    23867.2775 
  30    11913.0213    20942.9816    11913.0209    20942.9796 
  31    11459.5945    20405.6860    11459.5945    20405.6846 
  32    11740.3920    21713.8034    11740.3924    21713.7999 
  33    11501.3388    22221.3140    11501.3394    22221.3106 
  34    11555.0709    22691.1258    11555.0711    22691.1268 
  35    11683.8457    23303.8801    11683.8441    23303.8806 
  36    11792.4995    23776.7460    11792.4989    23776.7451 
  37    11004.5110    20617.4367    11004.5112    20617.4346 
  38    11094.9004    21280.7765    11094.9007    21280.7757 
  39    10612.9027    20092.8328    10612.9033    20092.8323 
  40    10399.8038    20738.8922    10399.8046    20738.8909 
  41    10789.6488    21182.2352    10789.6494    21182.2327 
  42    10906.7563    21830.5125    10906.7572    21830.5114 
  43    10148.0784    21427.9803    10148.0794    21427.9826 
  44    10590.8474    22017.7078    10590.8485    22017.7104 
  45    10872.9101    22506.2599    10872.9109    22506.2625 
  46    10199.3708    22426.8856    10199.3725    22426.8887 
  47    10506.6671    22964.9455    10506.6686    22964.9485 
  48    10838.6950    23108.6701    10838.6939    23108.6704 
  49    10761.3277    23662.1362    10761.3274    23662.1368 
  50    10199.8750    23470.4682    10199.8762    23470.4712 
